day,campaign,channel,partner,ad,impr,clicks,spend,engagement,sales,revenue
2024-01-01,New Year Push,paid_search,google,Fresh Start,37758,1439,811.9900271758545,390,101,12549.770001558843
2024-01-01,New Year Push,PaidSearch,Google,Countdown Offer,39974,1565,872.560041734438,366,80.0,9455.17
2024-01-01,New Year Push,paid_search,Google,Resolution Ready,32384,1328,723.13,397,68,8238.88
2024-01-01,New Year Push,Paid Search,Bing,Fresh Start,418,11070,250.99,146,23,2433.49
2024-01-01,New Year Push,Paid Search,BING,Countdown Offer,11435,495,241.32,109,37,4501.86
2024-01-01,NY Push,Paid Search,Bing,Resolution Ready,11064,551,244.29,164,31,3715.11
2024-01-01,New Year Push,paid social,Facebook,Fresh Start,50727,952,525.62,2002,27,1912.34
2024-01-01,New Year Push,Paid Social,Facebook,Countdown Offer,43940,730,420.94,1446,14,1071.53003476859
2024-01-01,New Year Push,Paid Social,Facebook,Resolution Ready,48541,831,479.11,1576,18,1669.35
2024-01-01,New Year Push,Paid Social,Instagram,Fresh Start,33468,626,323.67,1417,12,948.42
2024-01-01,New Year Push,Social Ads,Instagram,Countdown Offer,36117,682,363.23,1499,21,1864.58
2024-01-01,NewYearPush,PaidSocial,Instagram,Resolution Ready,452,30218,296.6,1014,9,836.0600052767277
2024-01-01,New Year Push,Paid Social,TikTok,Fresh Start,340,20289,206.04,730,11,890.87
2024-01-01,New Year Push,Paid Social,TikTok,Countdown Offer,17558,287,176.66,588,7,642.51
2024-01-01,New Year Push,paid social,tiktok,Resolution Ready,18159,293,190.62,693,5,354.3
2024-01-01,New Year Push,Display,Google Display Network,Fresh Start,114853,600,472.83,551,5,347.21
2024-01-01,New Year,Display,Google Display Network,Countdown Offer,141814,716,593.98,836,6,460.61
2024-01-01,New Year Push,Display,Google Display Network,Resolution Ready,132251,670,516.67,707,6,423.55
2024-01-01,New Year Push,Display,The Trade Desk,Fresh Start,446,76807,318.78,338,5,325.29
2024-01-01,New Year Push,Display,The Trade Desk,Countdown Offer,85362,483,334.57,456,6,387.01
2024-01-01,New Year Push,Display,The Trade Desk,Resolution Ready,418,82563,339.45,419,3,204.61
2024-01-01,New Year Push,Email,Mailchimp,Fresh Start,15746,3817,24.51,1505,141,11740.820000281476
2024-01-01,New Year Push,Email,Mailchimp,Countdown Offer,19414,4732,27.91,1580,147,15215.29
2024-01-01,New Year Push,Email,Mailchimp,Resolution Ready,18935,3444,28.33,1591,124,13234.03
2024-01-01,New Year Push,Email,Klaviyo,Fresh Start,14294,2690,21.53,1306,92,8333.12
01.01.2024,New Year Push,Email,Klaviyo,Countdown Offer,16293,3606,24.29,1347,117,10304.34
2024-01-01,New Year Push,Email,Klaviyo,Resolution Ready,13997,3032,20.43,987,94,9378.92
2024-01-01,New Year Push,online video,YouTube,Fresh Start,90572,830,1688.93,18140,11,1178.880038302722
2024-01-01,New Year Push,Video,YouTube,Countdown Offer,90231,626,1694.89,23826,9.0,996.38
2024-01-01,New Year Push,VIDEO,Youtube,Resolution Ready,739,104024,1796.9600003607857,25611,11,1110.9
2024-01-01,new_year_push,Video,connected_tv,Fresh Start,467,55031,1038.52,11215,7,679.58
